question,sql
Find maximum id in students,SELECT MAX(id) FROM students;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Show department from employees where id >= 50,SELECT department FROM employees WHERE id >= 50;
Show all orders,SELECT * FROM orders;
Find all records in employees where department = 20,SELECT * FROM employees WHERE department = 20;
Find minimum id in students,SELECT MIN(id) FROM students;
Find average age in students,SELECT AVG(age) FROM students;
Show salary from employees where salary = 90,SELECT salary FROM employees WHERE salary = 90;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all students,SELECT * FROM students;
Find minimum name in products,SELECT MIN(name) FROM products;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show order_id from orders where status >= 100,SELECT order_id FROM orders WHERE status >= 100;
Find all records in customers where membership = 20,SELECT * FROM customers WHERE membership = 20;
Find minimum category in products,SELECT MIN(category) FROM products;
Show all employees,SELECT * FROM employees;
Show all students,SELECT * FROM students;
Show category from products where price <= 50,SELECT category FROM products WHERE price <= 50;
Find minimum department in students,SELECT MIN(department) FROM students;
Show salary from employees where id <= 40,SELECT salary FROM employees WHERE id <= 40;
Find minimum id in students,SELECT MIN(id) FROM students;
Find average age in customers,SELECT AVG(age) FROM customers;
Show id from students where name > 20,SELECT id FROM students WHERE name > 20;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Show name from employees where name < 50,SELECT name FROM employees WHERE name < 50;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all name from students,SELECT name FROM students;
Show all orders,SELECT * FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in products where product_id = 40,SELECT * FROM products WHERE product_id = 40;
Show age from customers where membership <= 30,SELECT age FROM customers WHERE membership <= 30;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find average name in customers,SELECT AVG(name) FROM customers;
Show amount from orders where status < 30,SELECT amount FROM orders WHERE status < 30;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all orders,SELECT * FROM orders;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Show all customers,SELECT * FROM customers;
Find all records in products where stock >= 40,SELECT * FROM products WHERE stock >= 40;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average age in employees,SELECT AVG(age) FROM employees;
Find average department in students,SELECT AVG(department) FROM students;
Show all students,SELECT * FROM students;
Find minimum age in students,SELECT MIN(age) FROM students;
Show all employees,SELECT * FROM employees;
List all category from products,SELECT category FROM products;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find average department in students,SELECT AVG(department) FROM students;
Find maximum age in students,SELECT MAX(age) FROM students;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Show all orders,SELECT * FROM orders;
Show all products,SELECT * FROM products;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all customers,SELECT * FROM customers;
Find all records in employees where id < 80,SELECT * FROM employees WHERE id < 80;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Find all records in employees where age > 80,SELECT * FROM employees WHERE age > 80;
Find average date in orders,SELECT AVG(date) FROM orders;
Show stock from products where name < 60,SELECT stock FROM products WHERE name < 60;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find average name in customers,SELECT AVG(name) FROM customers;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all products,SELECT * FROM products;
Find all records in students where age >= 50,SELECT * FROM students WHERE age >= 50;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
List all date from orders,SELECT date FROM orders;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find all records in employees where salary <= 10,SELECT * FROM employees WHERE salary <= 10;
Find all records in orders where order_id = 60,SELECT * FROM orders WHERE order_id = 60;
List all amount from orders,SELECT amount FROM orders;
Find average name in students,SELECT AVG(name) FROM students;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
List all name from customers,SELECT name FROM customers;
Show salary from employees where salary >= 90,SELECT salary FROM employees WHERE salary >= 90;
Show all orders,SELECT * FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
Show category from products where product_id >= 70,SELECT category FROM products WHERE product_id >= 70;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all students,SELECT * FROM students;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find all records in orders where amount > 80,SELECT * FROM orders WHERE amount > 80;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find average stock in products,SELECT AVG(stock) FROM products;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
List all age from customers,SELECT age FROM customers;
Show all orders,SELECT * FROM orders;
Find all records in employees where age <= 70,SELECT * FROM employees WHERE age <= 70;
List all city from customers,SELECT city FROM customers;
Find average price in products,SELECT AVG(price) FROM products;
Show age from employees where name < 20,SELECT age FROM employees WHERE name < 20;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Count all rows in orders,SELECT COUNT(*) FROM orders;
List all id from students,SELECT id FROM students;
Find all records in students where name < 80,SELECT * FROM students WHERE name < 80;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Show name from products where name < 20,SELECT name FROM products WHERE name < 20;
Show all employees ordered by name,SELECT * FROM employees ORDER BY name;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find average age in customers,SELECT AVG(age) FROM customers;
Find all records in products where price <= 40,SELECT * FROM products WHERE price <= 40;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Find average name in products,SELECT AVG(name) FROM products;
Show department from employees where salary < 100,SELECT department FROM employees WHERE salary < 100;
List all membership from customers,SELECT membership FROM customers;
Find minimum name in products,SELECT MIN(name) FROM products;
Find all records in customers where customer_id >= 40,SELECT * FROM customers WHERE customer_id >= 40;
Find all records in students where name >= 80,SELECT * FROM students WHERE name >= 80;
Find all records in customers where customer_id >= 70,SELECT * FROM customers WHERE customer_id >= 70;
Find minimum name in products,SELECT MIN(name) FROM products;
Find average department in employees,SELECT AVG(department) FROM employees;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find all records in products where price < 80,SELECT * FROM products WHERE price < 80;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show stock from products where category = 70,SELECT stock FROM products WHERE category = 70;
